Time,Watts Total,Watts R Ph,Watts Y Ph,Watts B Ph,PF Ave,PF R Ph,PF Y Ph,PF B Ph,VLN average,V R Ph,V Y Ph,V B Ph,A average,A R Ph,A Y Ph,A B Ph,Frequency,Wh received,Load Hours Delivered,No of interruption,On Hours,V R Harmonics,V Y Harmonics,V B Harmonics,A R Harmonics,A Y Harmonics,A B Harmonics
2025-07-20 15:50:42,355.76,180.83,13.91,6.88,316.02,291.64,381.1,422.74,406.84,414.17,53.76,198.54,470.0,152.24,336.32,460.09,324.93,125.07,336.37,68.79,345.7,269.14,413.52,128.28,109.34,492.67,274.72
2025-07-20 15:50:52,475.75,54.04,248.24,483.9,198.58,110.33,281.56,414.33,254.55,265.95,375.39,288.35,245.91,475.82,488.03,204.03,142.77,104.5,63.94,7.52,146.1,451.5,146.4,99.77,431.4,267.24,337.69
2025-07-20 15:51:03,137.67,453.93,71.09,137.2,101.77,200.48,337.61,10.02,43.08,336.34,188.12,236.55,18.95,119.37,213.68,423.53,123.69,153.37,257.25,199.62,368.43,31.04,484.86,85.49,138.2,90.79,356.62
2025-07-20 15:51:13,313.87,100.11,67.77,185.31,301.4,11.18,252.12,443.93,287.76,489.43,69.89,138.46,374.55,193.89,356.74,291.33,308.53,128.64,196.56,234.74,274.83,338.54,206.11,184.11,54.65,76.94,446.17
2025-07-20 15:51:23,247.68,60.59,100.09,422.18,292.0,395.19,244.55,213.52,130.79,388.93,415.86,471.96,425.76,279.85,96.48,361.92,70.99,201.93,50.64,66.11,117.92,87.58,325.73,112.38,293.52,63.96,294.36
2025-07-20 15:51:34,136.29,371.62,67.2,80.8,102.48,285.59,14.23,325.1,128.26,281.48,264.37,476.77,347.43,22.93,107.51,49.07,218.92,478.63,311.25,400.9,22.27,56.87,287.78,460.95,347.03,16.39,499.98
2025-07-20 15:51:44,353.01,122.58,369.46,222.62,442.19,363.36,494.41,104.11,274.59,34.8,33.24,154.02,0.87,315.04,422.91,147.62,440.14,348.83,302.9,467.07,109.5,137.01,254.45,141.65,190.72,226.95,297.55
2025-07-20 15:51:54,379.34,90.22,465.1,452.7,244.43,99.85,286.97,470.24,178.5,286.29,232.2,69.63,415.54,130.37,65.54,443.77,410.35,45.11,326.11,433.29,410.09,221.26,39.36,268.01,324.24,236.3,344.25
2025-07-20 15:52:05,291.6,283.05,469.89,480.42,215.55,140.52,192.61,157.36,123.3,342.01,125.56,61.08,390.22,296.09,326.17,15.61,435.15,31.54,306.5,222.22,84.86,416.69,221.32,190.32,106.93,116.36,67.44
2025-07-20 15:52:15,392.88,4.44,150.53,226.68,379.44,425.67,249.48,205.0,215.87,407.72,153.78,135.07,275.43,205.12,34.13,65.2,449.66,109.56,494.26,184.83,22.12,235.52,117.94,268.41,442.33,489.83,419.57
